dataset,seed,classifier,technique,category,accuracy,f1,auc,mcc,stat_parity_diff,eq_odds_diff,eq_opp_diff,disparate_impact
Adult,7,MLP,DisparateImpactRemover,pre,0.852,0.6672,0.9064,0.5813,-0.1272,-0.0934,-0.1527,0.3871
Adult,7,PR-LogReg,PrejudiceRemover,in,0.8485,0.6687,0.9015,0.5758,-0.1268,-0.086,-0.1375,0.4238
Adult,123,LogReg,Baseline,none,0.8508,0.6673,0.9078,0.577,-0.1322,-0.0762,-0.0973,0.3863
Adult,123,LogReg,CalibratedEqOdds,post,0.8218,0.5404,0.8445,0.4659,-0.0646,0.0317,0.0947,0.5628
Adult,123,LogReg,RejectOption,post,0.8049,0.6808,0.9078,0.5696,-0.0432,0.0587,0.081,0.8831
Adult,123,RandomForest,Baseline,none,0.8504,0.6782,0.8989,0.583,-0.13,-0.0661,-0.0804,0.4385
Adult,123,RandomForest,CalibratedEqOdds,post,0.8503,0.678,0.8988,0.5828,-0.1299,-0.0659,-0.08,0.4387
Adult,123,RandomForest,RejectOption,post,0.8222,0.6689,0.8989,0.552,0.0942,0.2073,0.2535,1.3348
Adult,123,XGBoost,Baseline,none,0.875,0.7224,0.9323,0.6474,-0.1283,-0.0598,-0.0763,0.4084
Adult,123,XGBoost,CalibratedEqOdds,post,0.8616,0.6771,0.9132,0.6024,-0.1041,-0.019,-0.0011,0.4597
Adult,123,XGBoost,RejectOption,post,0.8314,0.7163,0.9323,0.6195,-0.0313,0.0713,0.0857,0.9107
Adult,123,MLP,Baseline,none,0.8517,0.6714,0.9109,0.5807,-0.1276,-0.0709,-0.0923,0.4139
Adult,123,MLP,CalibratedEqOdds,post,0.8329,0.5941,0.8733,0.5096,-0.0835,-0.0006,0.0326,0.5188
Adult,123,MLP,RejectOption,post,0.8047,0.6808,0.9109,0.5697,-0.0448,0.0574,0.08,0.879
Adult,123,LogReg,Reweighing,pre,0.8497,0.6644,0.9058,0.5736,-0.0711,0.0471,0.111,0.659
Adult,123,RandomForest,Reweighing,pre,0.8518,0.6788,0.8995,0.5853,-0.1286,-0.0662,-0.0822,0.4355
Adult,123,XGBoost,Reweighing,pre,0.8745,0.72,0.9319,0.6455,-0.0816,0.0235,0.0573,0.6111
Adult,123,MLP,Reweighing,pre,0.8534,0.6707,0.911,0.5832,-0.0708,0.0468,0.1087,0.6562
Adult,123,LogReg,DisparateImpactRemover,pre,0.8501,0.6811,0.9068,0.5846,-0.1569,-0.1046,-0.1355,0.3444
Adult,123,RandomForest,DisparateImpactRemover,pre,0.8257,0.6247,0.8801,0.5134,-0.1395,-0.0729,-0.071,0.3984
Adult,123,XGBoost,DisparateImpactRemover,pre,0.8465,0.6614,0.8956,0.5667,-0.1433,-0.0916,-0.1174,0.352
Adult,123,MLP,DisparateImpactRemover,pre,0.8505,0.6861,0.9101,0.5887,-0.1595,-0.1113,-0.1495,0.3509
Adult,123,PR-LogReg,PrejudiceRemover,in,0.8499,0.6658,0.9079,0.5747,-0.13,-0.0774,-0.1027,0.3967
